s,x,y,yaw,curvature,csv_speed,curve_speed,reference_speed
10.750000000,10.695115070,-2.083864465,-0.011543412,0.000001833,3.784847200,44.680430326,3.784847200
11.000000000,10.945098413,-2.086750315,-0.011543543,0.000001446,3.788291492,44.689071588,3.788291492
11.250000000,11.195081757,-2.089636108,-0.011542382,0.000000497,3.790538272,44.710241189,3.790538272
11.500000000,11.445065107,-2.092521378,-0.011541056,0.000001017,3.791227738,44.698646493,3.791227738
11.750000000,11.695048458,-2.095406508,-0.011541924,0.000001335,3.790847436,44.691533065,3.790847436
12.000000000,11.945031803,-2.098292211,-0.011542866,-0.000000274,3.789393431,44.715229600,3.789393431
12.250000000,12.195015149,-2.101177813,-0.011541548,-0.000000916,3.787822470,44.700901524,3.787822470
12.500000000,12.444998502,-2.104062857,-0.011541039,0.000000361,3.786319356,44.713295871,3.786319356
12.750000000,12.694981851,-2.106948204,-0.011543084,-0.000000188,3.784877646,44.717151714,3.784877646
13.000000000,12.944965191,-2.109834271,-0.011542185,-0.000001584,3.783492297,44.685978291,3.783492297
13.250000000,13.194948545,-2.112719169,-0.011541704,-0.000000615,3.782162062,44.707619475,3.782162062
13.500000000,13.444931889,-2.115604995,-0.011543181,0.000000625,3.780888190,44.707384349,3.780888190
13.750000000,13.694915234,-2.118490631,-0.011543367,-0.000000158,3.779669810,44.717819638,3.779669810
14.000000000,13.944898577,-2.121376550,-0.011542294,-0.000000528,3.778495088,44.709552208,3.778495088
14.250000000,14.194881929,-2.124261649,-0.011541412,0.000000018,3.777367842,44.720952893,3.777367842
14.500000000,14.444865276,-2.127147128,-0.011542872,-0.000000065,3.776292793,44.719897397,3.776292793
14.750000000,14.694848620,-2.130032957,-0.011543333,-0.000000900,3.775259953,44.701243131,3.775259953
15.000000000,14.944831964,-2.132918667,-0.011543169,-0.000009177,3.774263074,44.517549350,3.774263074
15.250000000,15.194815309,-2.135804414,-0.011542655,-0.000057629,3.773195114,43.485882756,3.773195114
15.500000000,15.444798657,-2.138689866,-0.011543301,-0.000209617,3.738030500,40.662219171,3.730467286
15.750000000,15.694781997,-2.141575936,-0.011563926,-0.000504941,3.607843143,36.454848508,3.593937420
16.000000000,15.944765226,-2.144471700,-0.011666352,-0.000894216,3.455742994,32.493781223,3.452011903
16.250000000,16.194747969,-2.147408980,-0.011944193,-0.001252315,3.303995487,29.798910988,3.303995487
16.500000000,16.444729545,-2.150443654,-0.012403984,-0.001460551,3.171777927,28.510103338,3.171777927
16.750000000,16.694709479,-2.153610812,-0.012917513,-0.001449325,3.170058831,28.575363870,3.170058831
17.000000000,16.944687808,-2.156902231,-0.013320503,-0.001212733,3.196107949,30.064258753,3.196107949
17.250000000,17.194665111,-2.160270867,-0.013561153,-0.000840057,3.219961773,32.968517102,3.219961773
17.500000000,17.444641830,-2.163682599,-0.013672705,-0.000474091,3.240718293,36.834331850,3.240718293
17.750000000,17.694618376,-2.167107006,-0.013707304,-0.000212140,3.259022973,40.619871653,3.259022973
18.000000000,17.944594858,-2.170536036,-0.013714334,-0.000067818,3.276059572,43.277925666,3.276059572
18.250000000,18.194571356,-2.173963958,-0.013708910,-0.000008062,3.292269275,44.542172205,3.292269275
18.500000000,18.444547875,-2.177390277,-0.013703096,0.000008452,3.307588771,44.533545703,3.307588771
18.750000000,18.694524413,-2.180815292,-0.013700305,0.000008821,3.322173009,44.525419646,3.322173009
19.000000000,18.944500951,-2.184240215,-0.013699858,0.000004388,3.335688539,44.623554688,3.335688539
19.250000000,19.194477492,-2.187665007,-0.013700649,0.000000262,3.347128963,44.715512512,3.347128963
